APP;CLIENT;SERVER;METHOD;URL;TRACE;ERROR_MESSAGE;COUNT
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45092;217.130.7.44:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45064;142.250.200.74:443;Proxy-Request;https://youtubei.googleapis.co...;-;-;1227
N/A;192.168.0.20:45100;216.58.209.65:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45080;142.250.184.1:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Request;https://s.youtube.com/api/stat...;-;-;1227
N/A;192.168.0.20:45090;217.130.7.44:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45092;217.130.7.44:443;Proxy-Request;https://rr1---sn-8vq54voxn25po...;-;-;1227
N/A;192.168.0.20:45090;217.130.7.44:443;Proxy-Request;https://rr1---sn-8vq54voxn25po...;-;-;1227
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45064;142.250.200.74:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45092;217.130.7.44:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45106;217.130.7.46:443;Proxy-Request;https://rr3---sn-8vq54voxn25po...;-;-;1227
N/A;192.168.0.20:45092;217.130.7.44:443;Proxy-Request;https://rr1---sn-8vq54voxn25po...;-;-;1227
N/A;192.168.0.20:45080;142.250.184.1:443;Proxy-Request;https://yt3.ggpht.com/oELU-yUy...;-;-;1227
N/A;192.168.0.20:45106;217.130.7.46:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45080;142.250.184.1:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45092;217.130.7.44:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45066;142.250.185.22:443;Proxy-Request;https://i.ytimg.com/vi/ekfaD1j...;-;-;1227
N/A;192.168.0.20:45090;;Proxy-Error;;-;Client disconnected.;37
N/A;192.168.0.20:45076;216.58.215.174:443;Proxy-Request;https://www.youtube.com/ptrack...;-;-;1227
N/A;192.168.0.20:45106;217.130.7.46:443;Proxy-Request;https://rr3---sn-8vq54voxn25po...;-;-;1227
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Request;https://s.youtube.com/api/stat...;-;-;1227
N/A;192.168.0.20:45066;142.250.185.22:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45076;216.58.215.174:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45106;217.130.7.46:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45106;217.130.7.46:443;Proxy-Request;https://rr3---sn-8vq54voxn25po...;-;-;1227
N/A;192.168.0.20:45110;217.130.7.46:443;Proxy-Request;https://rr3---sn-8vq54voxn25po...;-;-;1227
N/A;192.168.0.20:45106;217.130.7.46:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45106;217.130.7.46:443;Proxy-Request;https://rr3---sn-8vq54voxn25po...;-;-;1227
N/A;192.168.0.20:45106;217.130.7.46:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45110;217.130.7.46:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45064;142.250.200.74:443;Proxy-Request;https://youtubei.googleapis.co...;-;-;1227
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Request;https://s.youtube.com/api/stat...;-;-;1227
N/A;192.168.0.20:45076;216.58.215.174:443;Proxy-Request;https://www.youtube.com/pagead...;-;-;1227
N/A;192.168.0.20:45076;216.58.215.174:443;Proxy-Request;https://www.youtube.com/pagead...;-;-;1227
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Request;https://s.youtube.com/api/stat...;-;-;1227
N/A;192.168.0.20:45064;142.250.200.74:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Request;https://s.youtube.com/api/stat...;-;-;1227
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Request;https://s.youtube.com/api/stat...;-;-;1227
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45076;216.58.215.174:443;Proxy-Response;-;-;-;1205
N/A;192.168.0.20:45098;173.194.76.100:443;Proxy-Request;https://s.youtube.com/api/stat...;-;-;1227
